,jobid,experiment,cacheddata,rep,map_avg,map_min,map_max,runtime,queuetime
0,job_1588878927238_0089,terasort,0,1,289.266,255.425,301.211,382.306,4.35
1,job_1588878927238_0090,terasort,4,1,287.648,257.112,301.076,382.556,4.865
2,job_1588878927238_0091,terasort,8,1,283.889,249.813,298.365,379.574,3.884
3,job_1588878927238_0092,terasort,16,1,274.798,231.096,290.005,368.792,5.11
4,job_1588878927238_0093,terasort,24,1,267.938,226.336,281.564,361.837,4.327
5,job_1588878927238_0094,terasort,32,1,260.594,228.074,274.409,356.25,3.785
6,job_1588878927238_0095,terasort,48,1,244.819,227.003,255.222,337.936,5.247
7,job_1588878927238_0096,terasort,64,1,228.971,205.67,241.74,322.592,4.327
8,job_1588878927238_0097,terasort,80,1,214.111,186.402,228.349,308.351,4.189
9,job_1588878927238_0098,terasort,96,1,195.292,159.908,207.874,288.198,4.156
10,job_1588878927238_0099,terasort,112,1,179.586,139.435,194.044,269.969,4.493
11,job_1588878927238_0100,terasort,128,1,165.866,134.509,177.525,257.136,4.647
12,job_1588878927238_0101,terasort,144,1,148.556,117.279,162.887,243.556,4.043
13,job_1588878927238_0102,terasort,160,1,132.484,105.315,147.079,226.468,3.803
14,job_1588878927238_0103,terasort,176,1,117.666,86.732,131.635,213.682,4.682
15,job_1588878927238_0104,terasort,192,1,100.757,65.343,117.118,196.354,3.813
16,job_1588878927238_0105,terasort,208,1,85.58,66.36,99.14,180.215,4.004
17,job_1588878927238_0106,terasort,224,1,71.124,57.287,86.996,168.545,4.211
18,job_1588878927238_0107,terasort,240,1,56.628,47.841,70.868,145.729,5.155
19,job_1588878927238_0108,terasort,256,1,50.998,39.436,67.107,148.465,4.256
20,job_1588878927238_0109,terasort,0,2,289.452,250.409,301.893,386.096,4.499
21,job_1588878927238_0110,terasort,4,2,287.945,257.148,300.862,381.647,4.16
22,job_1588878927238_0111,terasort,8,2,284.149,249.073,298.128,380.076,3.777
23,job_1588878927238_0112,terasort,16,2,276.009,244.181,290.411,371.063,3.815
24,job_1588878927238_0113,terasort,24,2,268.199,240.288,281.109,363.69,4.732
25,job_1588878927238_0114,terasort,32,2,259.768,222.802,274.406,356.668,3.843
26,job_1588878927238_0115,terasort,48,2,244.033,214.705,255.773,341.917,5.33
27,job_1588878927238_0116,terasort,64,2,227.828,200.655,243.371,321.675,4.883
28,job_1588878927238_0117,terasort,80,2,212.171,180.167,227.921,303.753,5.001
29,job_1588878927238_0118,terasort,96,2,195.433,147.385,210.219,289.439,5.29
30,job_1588878927238_0119,terasort,112,2,180.275,149.953,194.894,275.214,3.785
31,job_1588878927238_0120,terasort,128,2,163.983,133.66,178.775,257.925,3.916
32,job_1588878927238_0121,terasort,144,2,149.993,112.018,168.304,246.191,3.974
33,job_1588878927238_0122,terasort,160,2,133.236,116.527,145.889,226.872,4.471
34,job_1588878927238_0123,terasort,176,2,117.558,92.056,133.258,216.191,3.905
35,job_1588878927238_0124,terasort,192,2,101.34,83.224,115.945,198.971,3.782
36,job_1588878927238_0125,terasort,208,2,85.739,64.799,102.909,182.681,3.718
37,job_1588878927238_0126,terasort,224,2,70.697,60.216,84.291,166.387,3.945
38,job_1588878927238_0127,terasort,240,2,56.612,46.772,66.729,149.74,4.643
39,job_1588878927238_0128,terasort,256,2,50.885,42.27,65.234,148.309,4.834
40,job_1588878927238_0129,terasort,0,3,291.335,258.335,306.179,386.877,4.603
41,job_1588878927238_0130,terasort,4,3,289.988,264.301,300.977,385.348,3.604
42,job_1588878927238_0131,terasort,8,3,285.373,249.911,297.37,379.512,5.149
43,job_1588878927238_0132,terasort,16,3,276.326,247.297,288.11,375.083,3.707
44,job_1588878927238_0133,terasort,24,3,268.821,237.208,279.991,363.568,4.166
45,job_1588878927238_0134,terasort,32,3,260.089,225.685,274.035,354.521,5.362
46,job_1588878927238_0135,terasort,48,3,243.372,206.76,259.414,339.116,5.429
47,job_1588878927238_0136,terasort,64,3,226.253,187.311,243.528,323.303,4.388
48,job_1588878927238_0137,terasort,80,3,211.586,180.808,226.466,308.109,4.538
49,job_1588878927238_0138,terasort,96,3,197.103,168.91,209.159,286.65,3.846
50,job_1588878927238_0139,terasort,112,3,180.262,142.347,195.204,273.544,5.39
51,job_1588878927238_0140,terasort,128,3,165.295,152.826,178.343,257.289,5.372
52,job_1588878927238_0141,terasort,144,3,148.72,125.549,162.919,247.919,3.951
53,job_1588878927238_0142,terasort,160,3,133.909,107.336,148.098,228.839,4.899
54,job_1588878927238_0143,terasort,176,3,117.666,105.603,133.026,214.665,4.55
55,job_1588878927238_0144,terasort,192,3,101.651,75.433,118.816,204.357,5.118
56,job_1588878927238_0145,terasort,208,3,85.938,67.09,100.698,179.66,4.81
57,job_1588878927238_0146,terasort,224,3,70.327,54.392,84.909,167.235,4.692
58,job_1588878927238_0147,terasort,240,3,55.372,45.094,69.194,151.065,3.887
59,job_1588878927238_0148,terasort,256,3,50.964,41.306,65.028,145.86,4.442
